year,economy_gdp_per_capita_ppp_mea
1990,9205.14469478033
1991,9095.26186314465
1992,9368.71574867606
1993,9318.9038437748
1994,9316.93121462318
1995,9366.08262225586
1996,9618.56879845384
1997,9752.91641350353
1998,9957.32725384449
1999,10015.5526857452
2000,10377.1186335777
2001,10360.0397376522
2002,10367.4333095409
2003,10569.3605509192
2004,11141.1063561571
2005,11442.4114435944
2006,11811.968610274
2007,12144.084037953
2008,12379.3917296462
2009,12295.7832638917
2010,12616.921437154
2011,12850.9829506654
2012,12973.5733147368
2013,12954.7561844108
2014,13111.2880274314
2015,13259.9310242112
2016,13645.8359003348
2017,13723.8357090461
2018,13842.6400835174
2019,13860.9343986019
2020,13244.125517565
2021,13650.4958301501
2022,14243.8848577148
2023,14296.2954321092
2024,14355.1405957863
