year,economy_gdp_per_capita_ppp_world
1990,11257.4362630542
1991,11166.5096464532
1992,11132.3795188013
1993,11125.6559484613
1994,11251.216001516
1995,11429.3590247533
1996,11679.1536087807
1997,11964.1777193279
1998,12088.1016622616
1999,12351.5480491204
2000,12769.8314917662
2001,12904.861928295
2002,13093.0651208582
2003,13402.9919536458
2004,13914.8111422905
2005,14370.8850287562
2006,14927.5485261449
2007,15510.865766861
2008,15747.7295109752
2009,15452.5012186257
2010,16047.9897391201
2011,16479.4887946509
2012,16784.9491797151
2013,17122.0455272012
2014,17500.1748281222
2015,17868.0908568708
2016,18232.7269157079
2017,18714.9389431259
2018,19189.0202232249
2019,19552.0835148296
2020,18811.4935530315
2021,19866.7679184046
2022,20409.442097194
2023,20918.304708117
2024,21405.1181042664
