year,climate_ghg_sector_agriculture_world
1990,5159209984
1991,5139689984
1992,5121809920
1993,5090299904
1994,5134859776
1995,5187049984
1996,5216009728
1997,5141740032
1998,5195939840
1999,5253440000
2000,5249690112
2001,5253459968
2002,5311220224
2003,5307069952
2004,5415859712
2005,5453819904
2006,5513439744
2007,5590720000
2008,5599879680
2009,5597129728
2010,5653960192
2011,5782960128
2012,5805020160
2013,5749170176
2014,5802990080
2015,5824990208
2016,5861970432
2017,5945480192
2018,5923689984
2019,5914629632
2020,6041129984
2021,6093049856
2022,6109929984
2023,6241410048
