year,climate_ghg_sector_aviation_shipping_world
1990,634820032
1991,642580032
1992,679849984
1993,671929984
1994,697889984
1995,724369984
1996,745129984
1997,770800000
1998,795020032
1999,837000000
2000,862140032
2001,829489984
2002,868499968
2003,874349952
2004,960400000
2005,1006120000
2006,1058880000
2007,1109859968
2008,1118280064
2009,1064420032
2010,1136770048
2011,1150920064
2012,1096370048
2013,1103360000
2014,1139410048
2015,1193420032
2016,1237420032
2017,1293400064
2018,1322180096
2019,1316349952
2020,932140032
2021,987169984
2022,1124199936
2023,1223920000
