year,climate_ghg_sector_buildings_world
1990,3232640000
1991,3262669824
1992,3155610112
1993,3226139904
1994,3141449984
1995,3222360064
1996,3288409856
1997,3274129920
1998,3119610112
1999,3192509952
2000,3173199872
2001,3192339968
2002,3198289920
2003,3285080064
2004,3327639808
2005,3328150016
2006,3300150016
2007,3284719872
2008,3347580160
2009,3293199872
2010,3346279936
2011,3286230016
2012,3223069952
2013,3333629952
2014,3281250048
2015,3301019904
2016,3328489984
2017,3399110144
2018,3427310080
2019,3379330048
2020,3328350208
2021,3368709888
2022,3290649856
2023,3201989888
