year,climate_ghg_sector_electricity_heat_world
1990,8624079872
1991,8766550016
1992,8922909696
1993,8973129728
1994,9073999872
1995,9264320512
1996,9629209600
1997,9902130176
1998,10128119808
1999,10190950400
2000,10585950208
2001,10849489920
2002,11033900032
2003,11650480128
2004,12033800192
2005,12406280192
2006,12907240448
2007,13468460032
2008,13497709568
2009,13283489792
2010,14195299328
2011,14814340096
2012,15110860800
2013,15410669568
2014,15340440576
2015,15078219776
2016,15096450048
2017,15450420224
2018,15863179264
2019,15782370304
2020,15311129600
2021,16444560384
2022,16651350016
2023,17006499840
