year,climate_ghg_sector_fugitive_world
1990,2618149888
1991,2618020096
1992,2551899904
1993,2558469888
1994,2559290112
1995,2634520064
1996,2698020096
1997,2708640000
1998,2687899904
1999,2669220096
2000,2787360000
2001,2807270144
2002,2775200000
2003,2960560128
2004,3051980032
2005,3187590144
2006,3221889792
2007,3266629888
2008,3284499968
2009,3231600128
2010,3342790144
2011,3453469952
2012,3470739968
2013,3485779968
2014,3515600128
2015,3456800000
2016,3379229952
2017,3386790144
2018,3471889920
2019,3532969984
2020,3260950016
2021,3318579968
2022,3349889792
2023,3431770112
