year,climate_ghg_sector_industry_world
1990,1093420032
1991,1099859968
1992,1112979968
1993,1122040064
1994,1174499968
1995,1250569984
1996,1285930112
1997,1326489984
1998,1312480000
1999,1314169984
2000,1357200000
2001,1380870016
2002,1439840000
2003,1536849920
2004,1637840000
2005,1750160000
2006,1875680000
2007,2007030016
2008,2046520064
2009,2090580096
2010,2231879936
2011,2370310144
2012,2454919936
2013,2567170048
2014,2659490048
2015,2618600192
2016,2712689920
2017,2814590208
2018,2918249984
2019,3023470080
2020,3093440000
2021,3193929984
2022,3158000128
2023,3172719872
