year,climate_ghg_sector_land_use_world
1990,2312100096
1991,2312100096
1992,2312100096
1993,2312540160
1994,2312209920
1995,2317810176
1996,2123840128
1997,3123190016
1998,2435330048
1999,2237060096
2000,2081649920
2001,184840000
2002,714770048
2003,401730016
2004,780179968
2005,493300000
2006,864099968
2007,324880000
2008,268570016
2009,671280000
2010,347690016
2011,-168350000
2012,-135830000
2013,-188790000
2014,168060000
2015,203320000
2016,27940000
2017,-18020000
2018,149850000
2019,431209984
2020,19920000
2021,248600000
2022,202490000
2023,466730016
