year,climate_ghg_sector_manufacturing_world
1990,3967889920
1991,3891870208
1992,3760000000
1993,3706370048
1994,3721820160
1995,3944930048
1996,3827500032
1997,3852179968
1998,3849949952
1999,3694600192
2000,3847429888
2001,3866189824
2002,3873080064
2003,4063860224
2004,4490990080
2005,4907939840
2006,5144029696
2007,5429299712
2008,5531569664
2009,5517420032
2010,6028310016
2011,6252780032
2012,6293850112
2013,6330700288
2014,6390759936
2015,6268200448
2016,6118499840
2017,6044899840
2018,6121229824
2019,6126040064
2020,6028179968
2021,6162450432
2022,6147520000
2023,6204729856
