year,climate_ghg_sector_transport_world
1990,4726279680
1991,4764569600
1992,4872520192
1993,4915559936
1994,5013539840
1995,5150940160
1996,5360880128
1997,5438929920
1998,5565349888
1999,5729789952
2000,5911510016
2001,5941910016
2002,6097619968
2003,6225560064
2004,6513600000
2005,6658200064
2006,6813640192
2007,7027120128
2008,7033080320
2009,6892389888
2010,7187759616
2011,7307549696
2012,7355680256
2013,7547310080
2014,7673140224
2015,7913990144
2016,8079220224
2017,8274219520
2018,8481469952
2019,8561490432
2020,7422919680
2021,8006360064
2022,8304929792
2023,8483360256
