year,climate_ghg_sector_waste_world
1990,1343219968
1991,1369079936
1992,1439250048
1993,1506610048
1994,1575389952
1995,1583449984
1996,1587819904
1997,1584989952
1998,1578569984
1999,1578790016
2000,1583550080
2001,1562530048
2002,1566420096
2003,1568960000
2004,1561360000
2005,1558489984
2006,1574300032
2007,1586099968
2008,1601170048
2009,1613139968
2010,1630189952
2011,1614860032
2012,1636220032
2013,1654800000
2014,1702620032
2015,1737689984
2016,1763360000
2017,1794329984
2018,1823170048
2019,1849510016
2020,1869160064
2021,1887219968
2022,1900359936
2023,1948849920
