year,climate_glaciers_world
1950,5.384
1951,5.039
1952,4.479
1953,3.917
1954,3.497
1955,3.87
1956,3.709
1957,3.616
1958,2.747
1959,2.28
1960,1.703
1961,1.267
1962,1.064
1963,0.712
1964,1.031
1965,1.189
1966,0.964
1967,0.845
1968,0.775
1969,0.287
1970,0
1971,-0.231
1972,-0.51
1973,-0.686
1974,-0.873
1975,-1.098
1976,-1.28
1977,-1.536
1978,-1.724
1979,-2.14
1980,-2.263
1981,-2.454
1982,-2.941
1983,-2.813
1984,-3.072
1985,-3.379
1986,-3.86
1987,-3.763
1988,-3.837
1989,-4.066
1990,-4.55
1991,-5.053
1992,-5.169
1993,-5.301
1994,-5.832
1995,-6.291
1996,-6.763
1997,-7.403
1998,-8.125
1999,-8.823
2000,-9.182
2001,-9.452
2002,-9.88
2003,-10.404
2004,-11.136
2005,-11.952
2006,-12.666
2007,-13.206
2008,-13.58
2009,-14.032
2010,-14.904
2011,-15.652
2012,-16.374
2013,-17.091
2014,-17.8
2015,-18.605
2016,-19.592
2017,-20.258
2018,-21.194
2019,-22.187
2020,-23.07
2021,-23.746
2022,-24.761
2023,-25.979
2024,-27.018
2025,-28.109
