year,health_hiv_incidence_wb_lcn
1990,0.412670967224276
1991,0.442284953844175
1992,0.464141856295726
1993,0.482582203342917
1994,0.481202464811384
1995,0.473656581018595
1996,0.460008961663357
1997,0.444398761473556
1998,0.419444449289878
1999,0.405365671140411
2000,0.394753037226169
2001,0.38087407826832
2002,0.38022098575684
2003,0.377598627562858
2004,0.37326512246945
2005,0.363059592064917
2006,0.351883109645139
2007,0.352323399142594
2008,0.364624546791815
2009,0.374716120582451
2010,0.384434248048786
2011,0.390412655496666
2012,0.399216974561967
2013,0.405895376599002
2014,0.412098889650947
2015,0.416537758208535
2016,0.419792817386045
2017,0.424751614441044
2018,0.425582720495478
2019,0.424846979442694
2020,0.41325773827991
2021,0.409638547817697
2022,0.402125437128877
2023,0.390123322629935
2024,0.375249351925473
