year,health_hiv_prevalence_ssf
1990,2.68744810829882
1991,3.14619479842125
1992,3.5876428646843
1993,3.98467890233434
1994,4.31735356596654
1995,4.5840314513457
1996,4.80613325714994
1997,4.97175630052126
1998,5.07836385490557
1999,5.11239150161596
2000,5.10048267153964
2001,5.04712741257705
2002,4.96656044812433
2003,4.86778569902484
2004,4.75645359043653
2005,4.62644987419656
2006,4.53141910865014
2007,4.44505742829334
2008,4.3720460394476
2009,4.32565705768519
2010,4.28462475275595
2011,4.22350783110338
2012,4.18365769222455
2013,4.10772864313903
2014,4.06978110893168
2015,3.99646319926907
2016,3.92570967248432
2017,3.80756314778314
2018,3.73292579952504
2019,3.62085966789404
2020,3.50981892642792
2021,3.41049616887485
2022,3.28582792709422
2023,3.14633121606179
2024,3.02403621557616
