year,violence_homicide_rate_western_europe
1250,25.5
1325,24.1
1375,34.42857142857143
1425,32.36
1475,20.85
1525,20.059999999999995
1575,12.866666666666667
1625,14.244444444444444
1675,8.260000000000002
1725,8.818181818181818
1775,7.581818181818181
1825,5.450000000000001
1862,5.145454545454546
1887,3.527272727272727
1912,2.7454545454545456
1937,1.2100000000000004
1950,0.5136395966666666
1951,0.7435551885714285
1952,0.7043264714285714
1953,0.6898937185714286
1954,0.67285475625
1955,0.6828236787499999
1956,0.65681625
1957,0.8079965812499998
1958,0.825588485
1959,0.81135813375
1960,0.672927715
1961,0.74745392
1962,0.720871209
1963,0.57164190875
1964,0.6085278662500001
1965,0.55422822875
1966,0.5918261987500001
1967,0.6600970325
1968,0.5900665112500001
1969,0.6242432162499999
1970,0.71374971
1971,0.7495623137499999
1972,0.8358473375
1973,0.74909963125
1974,0.8981723075000001
1975,0.9487042837499999
1976,0.87746861375
1977,0.9643857624999999
1978,0.9578502425
1979,1.1637653675000001
1980,1.1198196062499999
1981,1.3247481875
1982,1.1943330574999997
1983,1.28888978625
1984,1.16918392
1985,1.2515296125000002
1986,1.237699725
1987,1.3459453000000001
1988,1.20285952625
1989,1.24797295375
1990,1.2698778844444445
1991,1.3310014888888888
1992,1.3195415677777778
1993,1.3054376222222224
1994,1.2192500333333334
1995,1.1351495433333332
1996,1.2263918555555555
1997,1.1520333133333336
1998,1.1082637355555558
1999,1.1874333877777776
2000,1.0347344255555555
2001,1.0858317511111109
2002,1.10777305
2003,0.9722008999999999
2004,1.0397003999999999
2005,0.9369855011111111
2006,1.011577272727273
2007,0.9033566711111111
2008,0.8121487700000001
2009,0.8678948544444444
2010,0.7738757422222222
2011,0.7502721833333332
2012,0.7390980122222222
2013,0.6867369933333333
2014,0.6525065444444444
2015,0.6627880255555556
2016,0.6118834533333333
2017,0.6312001255555556
2018,0.6200503488888889
2019,0.5806343033333333
2020,0.5924159899999999
2021,0.5656182987499999
2022,0.5883607128571429
2023,0.6996356125
