year,progress_immunization_world
1980,12.852151
1981,15.480016
1982,16.498127
1983,34.44749
1984,38.469019
1985,43.945389
1986,44.580347
1987,51.920674
1988,61.549043
1989,67.116895
1990,72.73636
1991,68.862239
1992,69.436432
1993,69.986926
1994,71.57281
1995,73.378137
1996,73.230565
1997,71.127737
1998,70.548554
1999,71.25165
2000,71.519936
2001,72.496582
2002,72.046849
2003,73.681763
2004,75.650754
2005,77.079298
2006,78.789285
2007,79.19212
2008,80.820522
2009,83.235415
2010,83.93307
2011,84.501016
2012,83.852896
2013,83.9633
2014,84.28844
2015,84.702008
2016,85.048205
2017,85.326988
2018,86.414916
2019,86.232005
2020,83.878767
2021,82.040061
2022,83.691156
2023,83.012885
2024,84.301962
