year,inequality_income_share_bottom50_world
1820,14.23
1850,12.53
1880,9.9
1900,8.73
1910,8.8
1920,9
1930,9.09
1940,8.73
1950,9.14
1960,8.32
1970,7.14
1980,6.03
1981,6.2
1982,6.46
1983,6.44
1984,6.58
1985,6.6
1986,6.6
1987,6.66
1988,6.6
1989,6.49
1990,6.5
1991,6.54
1992,6.57
1993,6.64
1994,6.63
1995,6.78
1996,6.79
1997,6.87
1998,6.86
1999,6.89
2000,6.72
2001,6.72
2002,6.73
2003,6.78
2004,6.86
2005,6.83
2006,6.95
2007,7.03
2008,7.13
2009,7.47
2010,7.49
2011,7.54
2012,7.64
2013,7.69
2014,7.84
2015,7.9
2016,7.92
2017,7.88
2018,7.93
2019,7.99
2020,7.99
2021,7.85
2022,7.89
2023,7.95
2024,7.97
