year,inequality_income_share_top1_east_asia
1820,16.99
1850,18.22
1880,18.41
1900,19.13
1910,21.71
1920,23.85
1930,22.96
1940,23.35
1950,10.31
1960,13.66
1970,18.24
1980,19.56
1981,19.29
1982,19.14
1983,18.84
1984,18.94
1985,19.32
1986,19.71
1987,20.61
1988,21.36
1989,22.12
1990,23.05
1991,21.99
1992,19.52
1993,19.41
1994,19.07
1995,18.85
1996,19.27
1997,18.8
1998,19.07
1999,19.22
2000,19.66
2001,20.84
2002,20.79
2003,21.17
2004,21.43
2005,21.47
2006,20.96
2007,19.77
2008,19.07
2009,19.52
2010,19.5
2011,18.46
2012,17.57
2013,17.5
2014,17.29
2015,17.15
2016,17.21
2017,17.93
2018,17.5
2019,16.91
2020,17.36
2021,17.53
2022,17.32
2023,17.33
2024,17.36
