year,inequality_income_share_top1_europe
1820,21.92
1850,22.9
1880,23.32
1900,25.95
1910,25.23
1920,22.4
1930,17.74
1940,15.71
1950,11.48
1960,10.92
1970,9.16
1980,8.22
1981,8.09
1982,7.93
1983,7.92
1984,8
1985,8.16
1986,8.46
1987,8.69
1988,9.08
1989,9.34
1990,9.35
1991,9.4
1992,9.39
1993,9.45
1994,9.61
1995,9.8
1996,10.29
1997,10.74
1998,11.1
1999,10.95
2000,11.07
2001,10.93
2002,10.79
2003,10.97
2004,11.45
2005,12.02
2006,12.26
2007,12.67
2008,12.19
2009,11.74
2010,11.64
2011,11.83
2012,11.62
2013,11.78
2014,12
2015,11.93
2016,11.94
2017,12.15
2018,12.12
2019,11.95
2020,11.99
2021,12.2
2022,12.26
2023,12.11
2024,12.14
