year,inequality_income_share_top1_latin_america
1820,23.4
1850,23.72
1880,24.56
1900,24.38
1910,25.42
1920,25.74
1930,26.88
1940,28.2
1950,25.2
1960,20.18
1970,21.77
1980,21.82
1981,21.62
1982,21.62
1983,21.54
1984,21.64
1985,21.9
1986,21.93
1987,21.92
1988,21.75
1989,21.92
1990,21.97
1991,21.84
1992,21.7
1993,21.65
1994,21.66
1995,22.21
1996,22.04
1997,21.91
1998,21.63
1999,21.68
2000,21.74
2001,21.71
2002,21.68
2003,22.96
2004,24.86
2005,23.51
2006,23.45
2007,25.66
2008,26.28
2009,25.27
2010,26.79
2011,27.63
2012,27.94
2013,27.61
2014,28.51
2015,26.17
2016,25.06
2017,25.12
2018,25.48
2019,25.37
2020,25.61
2021,25.5
2022,24.29
2023,24.59
2024,24.63
