year,inequality_income_share_top1_north_america
1820,15.72
1850,16.92
1880,14.76
1900,15.71
1910,20.17
1920,18.88
1930,19.01
1940,20.43
1950,16.36
1960,12.42
1970,10.51
1980,10.22
1981,10.49
1982,10.78
1983,11.33
1984,11.97
1985,12.09
1986,11.81
1987,13.04
1988,14.97
1989,14.43
1990,14.52
1991,13.5
1992,14.55
1993,14.04
1994,13.92
1995,14.42
1996,15.15
1997,15.9
1998,16.25
1999,16.66
2000,17.27
2001,16.52
2002,16.02
2003,16.25
2004,16.98
2005,17.96
2006,18.39
2007,18.26
2008,17.8
2009,16.57
2010,17.75
2011,17.91
2012,19.28
2013,18.28
2014,18.75
2015,18.7
2016,18.47
2017,18.86
2018,19.04
2019,18.84
2020,18.03
2021,19.75
2022,20.48
2023,20.49
2024,20.5
