year,inequality_income_share_top1_oceania
1820,14.5
1850,15.32
1880,14.74
1900,16.3
1910,16.29
1920,14.74
1930,13.82
1940,13.45
1950,17.58
1960,8.95
1970,7.81
1980,6.38
1981,6.17
1982,6.23
1983,6.68
1984,6.66
1985,6.92
1986,7.14
1987,8.37
1988,10.03
1989,8.6
1990,8.33
1991,8.18
1992,8.08
1993,8.57
1994,8.98
1995,9.25
1996,9.62
1997,9.01
1998,9.78
1999,10.1
2000,10.41
2001,10.36
2002,11
2003,11.12
2004,13.18
2005,12.67
2006,11.39
2007,12.24
2008,12.72
2009,13.4
2010,15.07
2011,14.06
2012,12.51
2013,12.06
2014,12.44
2015,11.94
2016,11.27
2017,11.66
2018,11.2
2019,11.42
2020,12.02
2021,13.43
2022,12.97
2023,12.93
2024,12.95
