year,inequality_income_share_top1_russia_and_central_asia
1820,16.75
1850,17.13
1880,16.98
1900,18.55
1910,18.4
1920,4.29
1930,4.23
1940,4.33
1950,6.11
1960,5.05
1970,4.85
1980,4.32
1981,4.49
1982,4.66
1983,4.83
1984,4.99
1985,5.17
1986,5.35
1987,5.5
1988,5.67
1989,5.99
1990,7.87
1991,9.48
1992,11.46
1993,12.44
1994,13.48
1995,15.01
1996,17.56
1997,16.56
1998,15.9
1999,19.07
2000,22.17
2001,24.94
2002,24.12
2003,23.34
2004,22.22
2005,23.89
2006,24.83
2007,26.06
2008,23.01
2009,20.48
2010,19.07
2011,20.22
2012,19.12
2013,19.93
2014,19.42
2015,18.94
2016,19.69
2017,20.1
2018,19.97
2019,19.97
2020,22.82
2021,23.08
2022,23.08
2023,23.11
2024,22.96
