year,inequality_income_share_top1_south_and_south_east_asia
1820,16.6
1850,18.02
1880,18.21
1900,17.09
1910,15.09
1920,17.07
1930,16.64
1940,22.2
1950,15.61
1960,17.26
1970,18.58
1980,18.05
1981,17.74
1982,17.7
1983,18.18
1984,17.93
1985,18.24
1986,18.29
1987,18.54
1988,18.85
1989,18.87
1990,18.92
1991,19.27
1992,19.68
1993,20.33
1994,20.63
1995,21.08
1996,21.34
1997,20.68
1998,19.5
1999,19.6
2000,19.91
2001,20.25
2002,20.48
2003,20.86
2004,21.3
2005,21.9
2006,21.72
2007,21.78
2008,22.13
2009,22.08
2010,22
2011,22.07
2012,21.87
2013,21.81
2014,21.67
2015,21.54
2016,21.27
2017,21.43
2018,21.5
2019,20.75
2020,20.95
2021,21.17
2022,21.54
2023,21.61
2024,21.82
