year,inequality_income_share_top1_sub_saharan_africa
1820,21.26
1850,21.68
1880,23.59
1900,23.12
1910,24.09
1920,23.29
1930,23.69
1940,24.4
1950,23.38
1960,23.94
1970,24.98
1980,20.22
1981,20.15
1982,20.4
1983,20.75
1984,20.84
1985,20.55
1986,20.25
1987,20.25
1988,20.31
1989,20.43
1990,20.35
1991,20.94
1992,20.92
1993,20.11
1994,20.1
1995,20.47
1996,20.75
1997,21.16
1998,21.14
1999,21.32
2000,21.59
2001,21.87
2002,22.17
2003,22.22
2004,21.86
2005,22.14
2006,22.19
2007,22.3
2008,21.83
2009,20.9
2010,20.85
2011,20.95
2012,21.16
2013,20.91
2014,20.64
2015,20.3
2016,20.32
2017,20.36
2018,20.14
2019,19.9
2020,19.3
2021,19.75
2022,19.59
2023,19.4
2024,20.02
