year,inequality_income_share_top1_world
1820,19.66
1850,21.97
1880,23.13
1900,25.03
1910,25.55
1920,23.61
1930,21.1
1940,21.16
1950,18.09
1960,16.01
1970,15.45
1980,16.75
1981,16.54
1982,16.13
1983,15.97
1984,16.28
1985,16.35
1986,16.55
1987,16.98
1988,17.57
1989,17.76
1990,18.04
1991,18.17
1992,18.29
1993,18.36
1994,18.61
1995,18.84
1996,19.42
1997,19.61
1998,19.94
1999,20.14
2000,20.58
2001,20.38
2002,20.19
2003,20.47
2004,20.94
2005,21.17
2006,21.32
2007,21.72
2008,21.2
2009,20.28
2010,20.6
2011,20.73
2012,20.85
2013,20.68
2014,20.54
2015,20.38
2016,20.18
2017,20.36
2018,20.34
2019,20.02
2020,20.07
2021,20.68
2022,20.81
2023,20.79
2024,20.67
