year,jobs_wap_growth_china
2000,0.57
2001,0.57
2002,0.62
2003,0.65
2004,0.65
2005,0.62
2006,0.57
2007,0.59
2008,0.56
2009,0.46
2010,0.44
2011,0.34
2012,0.14
2013,0.08
2014,0.11
2015,0.2
2016,0.24
2017,0.19
2018,0.18
2019,0.18
2020,-0.02
2021,-0.18
2022,0.04
2023,0.12
2024,-0.07
2025,-0.2
2026,-0.24
2027,-0.23
2028,-0.26
2029,-0.29
2030,-0.3
2031,-0.26
2032,-0.27
2033,-0.34
2034,-0.38
2035,-0.44
2036,-0.46
2037,-0.44
2038,-0.42
2039,-0.42
2040,-0.4
2041,-0.38
2042,-0.37
2043,-0.38
2044,-0.39
2045,-0.42
2046,-0.42
2047,-0.41
2048,-0.38
2049,-0.35
2050,-0.33
