year,jobs_wap_growth_emde
2000,2.09
2001,2.09
2002,2.07
2003,2.02
2004,2
2005,1.99
2006,1.91
2007,1.8
2008,1.74
2009,1.7
2010,1.66
2011,1.58
2012,1.5
2013,1.43
2014,1.35
2015,1.29
2016,1.25
2017,1.18
2018,1.13
2019,1.11
2020,1.09
2021,1.08
2022,1.06
2023,1.11
2024,1.19
2025,1.23
2026,1.22
2027,1.15
2028,1
2029,0.94
2030,0.93
2031,0.91
2032,0.9
2033,0.82
2034,0.72
2035,0.65
2036,0.58
2037,0.56
2038,0.54
2039,0.53
2040,0.54
2041,0.54
2042,0.53
2043,0.52
2044,0.48
2045,0.44
2046,0.41
2047,0.36
2048,0.34
2049,0.33
2050,0.29
