year,jobs_wap_growth_lic
2000,3
2001,3.03
2002,3.32
2003,3.35
2004,3.24
2005,3.3
2006,3.48
2007,3.49
2008,3.32
2009,3.25
2010,3.25
2011,3.22
2012,3
2013,2.64
2014,2.57
2015,2.76
2016,3.1
2017,3.31
2018,3.48
2019,3.61
2020,3.54
2021,3.39
2022,3.33
2023,3.48
2024,3.46
2025,3.39
2026,3.37
2027,3.28
2028,3.19
2029,3.12
2030,3.07
2031,3.02
2032,2.97
2033,2.93
2034,2.9
2035,2.87
2036,2.84
2037,2.81
2038,2.79
2039,2.77
2040,2.74
2041,2.68
2042,2.62
2043,2.56
2044,2.51
2045,2.44
2046,2.39
2047,2.34
2048,2.28
2049,2.23
2050,2.17
