year,freedom_liberal_democracy_index_africa
1904,0.038294215
1905,0.03848575
1906,0.038740758
1907,0.03923528
1908,0.041306697
1909,0.04221043
1910,0.042272355
1911,0.043745298
1912,0.045453824
1913,0.043191474
1914,0.05200706
1915,0.05250474
1916,0.053503234
1917,0.05372162
1918,0.05385473
1919,0.055665333
1920,0.055773053
1921,0.056880005
1922,0.05837455
1923,0.06785638
1924,0.07028148
1925,0.07034708
1926,0.070933186
1927,0.071501955
1928,0.07160046
1929,0.07174741
1930,0.07195908
1931,0.07222524
1932,0.07075873
1933,0.070853576
1934,0.07094522
1935,0.07105224
1936,0.071120605
1937,0.071304575
1938,0.071761996
1939,0.07190466
1940,0.07233778
1941,0.07295635
1942,0.0736158
1943,0.07391034
1944,0.07397045
1945,0.07490927
1946,0.07659788
1947,0.08194615
1948,0.08168083
1949,0.083155386
1950,0.083873734
1951,0.086573794
1952,0.086058944
1953,0.08160734
1954,0.08288623
1955,0.08381669
1956,0.08733283
1957,0.09593103
1958,0.09527961
1959,0.07070699
1960,0.113939576
1961,0.12253495
1962,0.12606499
1963,0.13380377
1964,0.13615285
1965,0.13386206
1966,0.1102901
1967,0.10288377
1968,0.10306336
1969,0.09974673
1970,0.10232638
1971,0.104738526
1972,0.09898469
1973,0.09779189
1974,0.09436147
1975,0.09359212
1976,0.09485507
1977,0.09730738
1978,0.09925908
1979,0.11168234
1980,0.13158529
1981,0.13299672
1982,0.13041049
1983,0.12453579
1984,0.10762874
1985,0.108478166
1986,0.1126783
1987,0.11390382
1988,0.11444761
1989,0.11121336
1990,0.12169084
1991,0.13386284
1992,0.14624567
1993,0.16739888
1994,0.17631511
1995,0.19786887
1996,0.2028453
1997,0.20171113
1998,0.20432769
1999,0.22675297
2000,0.24527514
2001,0.24714619
2002,0.25073037
2003,0.25218722
2004,0.25330475
2005,0.25721085
2006,0.26080805
2007,0.2634869
2008,0.26123127
2009,0.25624907
2010,0.26028144
2011,0.2674785
2012,0.27597454
2013,0.2741512
2014,0.2784831
2015,0.27986297
2016,0.27945396
2017,0.27573213
2018,0.27438352
2019,0.26921058
2020,0.26412252
2021,0.2535542
2022,0.24963889
2023,0.2397935
2024,0.23320863
2025,0.22856872
