year,freedom_liberal_democracy_index_europe
1789,0.08288464
1790,0.0851249
1791,0.083346575
1792,0.076607056
1793,0.075274155
1794,0.07373228
1795,0.07884772
1796,0.078224845
1797,0.077934295
1798,0.08106578
1799,0.0771855
1800,0.060139522
1801,0.060908195
1802,0.06107023
1803,0.060437467
1804,0.06022876
1805,0.06027132
1806,0.06050086
1807,0.06103167
1808,0.061253738
1809,0.065994196
1810,0.06750463
1811,0.06807389
1812,0.07059115
1813,0.06724716
1814,0.06623793
1815,0.087142736
1816,0.08847333
1817,0.08930663
1818,0.09079116
1819,0.09072464
1820,0.091054894
1821,0.09295255
1822,0.09297423
1823,0.0927637
1824,0.091130346
1825,0.0908954
1826,0.0913257
1827,0.09090759
1828,0.09085974
1829,0.09078318
1830,0.1001777
1831,0.1054966
1832,0.09947682
1833,0.10089699
1834,0.10241754
1835,0.10479495
1836,0.10536759
1837,0.10587152
1838,0.10573224
1839,0.10616029
1840,0.107577614
1841,0.10734676
1842,0.107113
1843,0.10740558
1844,0.10755664
1845,0.1074905
1846,0.107069775
1847,0.10742674
1848,0.14336675
1849,0.15570472
1850,0.14933354
1851,0.12558149
1852,0.12046656
1853,0.12032268
1854,0.12040144
1855,0.12241194
1856,0.122481115
1857,0.122746326
1858,0.12262104
1859,0.12307068
1860,0.12430089
1861,0.1299822
1862,0.13302585
1863,0.13660112
1864,0.14317794
1865,0.14652948
1866,0.15095359
1867,0.16210994
1868,0.15619518
1869,0.15975218
1870,0.16951016
1871,0.18116549
1872,0.18768959
1873,0.19662528
1874,0.19882637
1875,0.20004366
1876,0.20092797
1877,0.20067711
1878,0.19691344
1879,0.19813015
1880,0.20129424
1881,0.19764896
1882,0.19766249
1883,0.19861613
1884,0.20082356
1885,0.20091633
1886,0.20231421
1887,0.20218165
1888,0.20180051
1889,0.20205303
1890,0.20238201
1891,0.202546
1892,0.20294061
1893,0.20384777
1894,0.20665297
1895,0.20640558
1896,0.20705548
1897,0.20673361
1898,0.20663679
1899,0.20656608
1900,0.20893116
1901,0.210448
1902,0.21082163
1903,0.211119
1904,0.21137361
1905,0.21147951
1906,0.2157825
1907,0.21683836
1908,0.21817067
1909,0.21858412
1910,0.2190172
1911,0.21969947
1912,0.22038849
1913,0.22235669
1914,0.21140996
1915,0.20599054
1916,0.20624669
1917,0.2058944
1918,0.21476021
1919,0.27355027
1920,0.31247663
1921,0.3226898
1922,0.32241783
1923,0.31209636
1924,0.30684063
1925,0.30038482
1926,0.28838065
1927,0.2832089
1928,0.28137514
1929,0.28080407
1930,0.27552155
1931,0.27370927
1932,0.2827667
1933,0.22533464
1934,0.21502224
1935,0.21389587
1936,0.20903198
1937,0.20309149
1938,0.19671473
1939,0.16152768
1940,0.11386847
1941,0.10560172
1942,0.10477146
1943,0.10397381
1944,0.1108021
1945,0.13433985
1946,0.1933997
1947,0.23604035
1948,0.23699111
1949,0.31197304
1950,0.31922004
1951,0.3191996
1952,0.3173665
1953,0.31869942
1954,0.32007056
1955,0.3200355
1956,0.32380328
1957,0.3263952
1958,0.32618377
1959,0.3258268
1960,0.3296823
1961,0.32969245
1962,0.33011496
1963,0.33390436
1964,0.3356102
1965,0.33725297
1966,0.33722365
1967,0.33585504
1968,0.33502382
1969,0.33920053
1970,0.34625265
1971,0.34898788
1972,0.35072017
1973,0.35196763
1974,0.35455355
1975,0.36378816
1976,0.36916763
1977,0.38098687
1978,0.40154362
1979,0.40752655
1980,0.4130832
1981,0.41583848
1982,0.41566312
1983,0.41589308
1984,0.41699618
1985,0.4174161
1986,0.4194117
1987,0.42139223
1988,0.42301524
1989,0.43800443
1990,0.5390195
1991,0.56843853
1992,0.61525315
1993,0.61930394
1994,0.6194593
1995,0.6183024
1996,0.6168526
1997,0.6155603
1998,0.61400074
1999,0.61838233
2000,0.6097073
2001,0.60827655
2002,0.6073304
2003,0.60765684
2004,0.607271
2005,0.61173415
2006,0.62088585
2007,0.62431574
2008,0.6253429
2009,0.62777007
2010,0.6193601
2011,0.62039775
2012,0.61667275
2013,0.6095619
2014,0.6035281
2015,0.6004243
2016,0.5922014
2017,0.5864738
2018,0.58247584
2019,0.58532953
2020,0.5805639
2021,0.57410395
2022,0.56392246
2023,0.56065625
2024,0.5523779
2025,0.5440558
