year,freedom_liberal_democracy_index_north_america
1789,0.11671941
1790,0.11641799
1791,0.118656926
1792,0.12169587
1793,0.12405629
1794,0.12684736
1795,0.12929879
1796,0.13176095
1797,0.1342314
1798,0.13344002
1799,0.13406806
1800,0.13996221
1801,0.14329164
1802,0.14404716
1803,0.14388944
1804,0.14342155
1805,0.14329007
1806,0.14356981
1807,0.14437194
1808,0.14428528
1809,0.14625943
1810,0.14633876
1811,0.14708917
1812,0.14977027
1813,0.14976731
1814,0.15226158
1815,0.15340064
1816,0.15353063
1817,0.15587328
1818,0.15740797
1819,0.15853363
1820,0.15288305
1821,0.15523185
1822,0.17529891
1823,0.18230544
1824,0.18662484
1825,0.18943487
1826,0.1900806
1827,0.19120565
1828,0.19863045
1829,0.19932216
1830,0.20058393
1831,0.20026928
1832,0.20177035
1833,0.2092212
1834,0.21102428
1835,0.21241583
1836,0.21512932
1837,0.21409757
1838,0.21479796
1839,0.21585314
1840,0.21519542
1841,0.22215892
1842,0.22431038
1843,0.2314776
1844,0.23188476
1845,0.2332124
1846,0.22692849
1847,0.22692588
1848,0.22873466
1849,0.22806752
1850,0.22381145
1851,0.22522578
1852,0.22823395
1853,0.22894953
1854,0.2325618
1855,0.23259653
1856,0.23359093
1857,0.23294798
1858,0.22974072
1859,0.23009442
1860,0.23328705
1861,0.23343033
1862,0.23739026
1863,0.23979829
1864,0.23988771
1865,0.23084924
1866,0.24523017
1867,0.25578746
1868,0.25897458
1869,0.2595891
1870,0.261866
1871,0.25992197
1872,0.25984454
1873,0.2596901
1874,0.26182067
1875,0.26218584
1876,0.25877047
1877,0.2523322
1878,0.25460717
1879,0.25739744
1880,0.2578916
1881,0.2583968
1882,0.25877872
1883,0.25850958
1884,0.25809515
1885,0.25826386
1886,0.25752008
1887,0.25991747
1888,0.2603592
1889,0.25710428
1890,0.25926438
1891,0.2628668
1892,0.26255006
1893,0.26279134
1894,0.26511788
1895,0.279754
1896,0.2908775
1897,0.29845744
1898,0.29987857
1899,0.30231518
1900,0.30488804
1901,0.30634943
1902,0.30803692
1903,0.30853128
1904,0.3089221
1905,0.30808803
1906,0.309374
1907,0.3090378
1908,0.30955067
1909,0.310081
1910,0.31179765
1911,0.3186259
1912,0.3196407
1913,0.31787926
1914,0.3123156
1915,0.31494272
1916,0.31472662
1917,0.3120881
1918,0.31035793
1919,0.3170911
1920,0.36425614
1921,0.3693864
1922,0.375106
1923,0.38381162
1924,0.383779
1925,0.3852127
1926,0.38550916
1927,0.38619703
1928,0.38451427
1929,0.38264152
1930,0.38323283
1931,0.39081362
1932,0.39249268
1933,0.3928188
1934,0.39334732
1935,0.39798036
1936,0.40003243
1937,0.39914072
1938,0.3993319
1939,0.39260426
1940,0.40015924
1941,0.394017
1942,0.38674042
1943,0.38595468
1944,0.38588804
1945,0.3963754
1946,0.42597696
1947,0.43331096
1948,0.4270682
1949,0.41737053
1950,0.42534778
1951,0.4393083
1952,0.43606156
1953,0.42902026
1954,0.43008828
1955,0.4255341
1956,0.42872316
1957,0.43072698
1958,0.4343778
1959,0.43126944
1960,0.44303292
1961,0.4537224
1962,0.45498937
1963,0.4630355
1964,0.4609493
1965,0.45825258
1966,0.47327185
1967,0.47752568
1968,0.47508094
1969,0.47666636
1970,0.49675268
1971,0.5006886
1972,0.50771374
1973,0.52516663
1974,0.5269259
1975,0.53816825
1976,0.5435924
1977,0.5682021
1978,0.5697748
1979,0.569541
1980,0.57573944
1981,0.5821034
1982,0.5833983
1983,0.5857718
1984,0.5847687
1985,0.580249
1986,0.58389693
1987,0.5877701
1988,0.5891222
1989,0.5876271
1990,0.5984338
1991,0.6053815
1992,0.6086549
1993,0.60831517
1994,0.61934644
1995,0.6269865
1996,0.63110137
1997,0.64427954
1998,0.6499327
1999,0.6489407
2000,0.6715842
2001,0.64867014
2002,0.65018994
2003,0.6681234
2004,0.66755
2005,0.664268
2006,0.6643021
2007,0.68278754
2008,0.6858577
2009,0.6879494
2010,0.68819565
2011,0.68551403
2012,0.680798
2013,0.67887616
2014,0.677111
2015,0.6785817
2016,0.6708701
2017,0.6253882
2018,0.619866
2019,0.61472917
2020,0.60580766
2021,0.6078904
2022,0.60532767
2023,0.6093019
2024,0.580595
2025,0.4731901
