year,freedom_liberal_democracy_index_oceania
1872,0.33446932
1873,0.3369593
1874,0.33943847
1875,0.3424778
1876,0.34505215
1877,0.34750026
1878,0.34936127
1879,0.3574388
1880,0.36013305
1881,0.36420438
1882,0.36760423
1883,0.37006402
1884,0.3732061
1885,0.37589562
1886,0.37820658
1887,0.38135272
1888,0.38472876
1889,0.38584054
1890,0.38734302
1891,0.3902868
1892,0.39318904
1893,0.4169461
1894,0.417896
1895,0.41869068
1896,0.42025313
1897,0.4233495
1898,0.4221573
1899,0.4241777
1901,0.49137387
1902,0.5607857
1903,0.5633064
1904,0.5734373
1905,0.5750414
1906,0.57950747
1907,0.5846791
1908,0.5859982
1909,0.58860767
1910,0.5860164
1911,0.5893049
1912,0.58965915
1913,0.5960909
1914,0.5841585
1915,0.5786446
1916,0.57403004
1917,0.56815135
1918,0.58691245
1919,0.6121078
1920,0.63881886
1921,0.64029235
1922,0.6427225
1923,0.6447454
1924,0.6458434
1925,0.64673173
1926,0.64580464
1927,0.6467809
1928,0.6478427
1929,0.64823055
1930,0.65313166
1931,0.6522155
1932,0.6485229
1933,0.6481611
1934,0.6462143
1935,0.6421486
1936,0.6379269
1937,0.63577664
1938,0.6335511
1939,0.6052335
1940,0.58461976
1941,0.58545285
1942,0.6023495
1943,0.6005222
1944,0.6020858
1945,0.6018131
1946,0.6377169
1947,0.63824123
1948,0.6368859
1949,0.6352498
1950,0.63428605
1951,0.63912755
1952,0.6466269
1953,0.6552021
1954,0.659319
1955,0.66260445
1956,0.66631985
1957,0.6660765
1958,0.666182
1959,0.6663185
1960,0.6701245
1961,0.67017597
1962,0.6738223
1963,0.6814899
1964,0.68202996
1965,0.68240714
1966,0.6824286
1967,0.6850216
1968,0.68849134
1969,0.68814886
1970,0.70414466
1971,0.704772
1972,0.7056868
1973,0.73095256
1974,0.7280817
1975,0.7388712
1976,0.73914057
1977,0.736949
1978,0.73893726
1979,0.73793995
1980,0.7476103
1981,0.750872
1982,0.7510012
1983,0.7503828
1984,0.75654393
1985,0.758416
1986,0.75883836
1987,0.75026107
1988,0.7482503
1989,0.7476711
1990,0.7522425
1991,0.7515094
1992,0.7526336
1993,0.75320536
1994,0.7506123
1995,0.74915475
1996,0.74937177
1997,0.7440978
1998,0.7425278
1999,0.7412947
2000,0.7358525
2001,0.73102003
2002,0.73061943
2003,0.7327742
2004,0.7310357
2005,0.7295378
2006,0.7256579
2007,0.71785045
2008,0.7198094
2009,0.7210894
2010,0.7234548
2011,0.72198045
2012,0.7195153
2013,0.6939247
2014,0.6897483
2015,0.6977766
2016,0.7027765
2017,0.6986224
2018,0.6943185
2019,0.67071056
2020,0.6778108
2021,0.6679105
2022,0.6805202
2023,0.6890927
2024,0.6854292
2025,0.6805259
