year,freedom_liberal_democracy_index_south_america
1811,0.039128035
1812,0.038544625
1813,0.03555128
1814,0.034617558
1815,0.034670286
1816,0.034931347
1817,0.03548698
1818,0.03582365
1821,0.050453123
1822,0.057523105
1823,0.07190755
1826,0.10304286
1827,0.11011023
1828,0.10875581
1829,0.10557881
1830,0.112951666
1831,0.11536303
1832,0.124551676
1833,0.12555559
1834,0.124467276
1835,0.12469186
1836,0.12359608
1837,0.11835339
1838,0.11803022
1839,0.1172975
1840,0.11673761
1841,0.11585967
1842,0.11112504
1843,0.111963026
1844,0.112525925
1845,0.11559348
1846,0.117019415
1847,0.11636034
1848,0.11119486
1849,0.10515979
1850,0.110562146
1851,0.11075983
1852,0.111909516
1853,0.11504982
1854,0.11173375
1855,0.11863595
1856,0.12096542
1857,0.12183522
1858,0.12216436
1859,0.12116041
1860,0.1247637
1861,0.12838596
1862,0.1311299
1863,0.13856173
1864,0.13130523
1865,0.12911509
1866,0.12874246
1867,0.12845294
1868,0.12905546
1869,0.13005921
1870,0.13140967
1871,0.13256194
1872,0.13456264
1873,0.13624312
1874,0.13766462
1875,0.13884231
1876,0.13266511
1877,0.13170277
1878,0.13665627
1879,0.13596578
1880,0.13101825
1881,0.13320348
1882,0.1322489
1883,0.13188192
1884,0.13802134
1885,0.13960017
1886,0.1254182
1887,0.12723699
1888,0.13291103
1889,0.13473257
1890,0.12062731
1891,0.12512329
1892,0.14242549
1893,0.14252055
1894,0.14578936
1895,0.15379822
1896,0.15459017
1897,0.1539372
1898,0.15539032
1899,0.15433824
1900,0.1465364
1901,0.1469626
1902,0.14550078
1903,0.15272613
1904,0.152618
1905,0.15322791
1906,0.15258642
1907,0.15303001
1908,0.15285975
1909,0.15340267
1910,0.16029549
1911,0.1631092
1912,0.168143
1913,0.16687441
1914,0.16392703
1915,0.16362481
1916,0.1694804
1917,0.17200238
1918,0.1730324
1919,0.17080359
1920,0.16788138
1921,0.1686627
1922,0.16871685
1923,0.17054021
1924,0.16877039
1925,0.16471374
1926,0.1656022
1927,0.17079224
1928,0.17003858
1929,0.17153348
1930,0.13890664
1931,0.105499975
1932,0.12278766
1933,0.12819123
1934,0.1252008
1935,0.12768386
1936,0.12934227
1937,0.12014032
1938,0.12049627
1939,0.12610345
1940,0.13154899
1941,0.1314407
1942,0.13194302
1943,0.11855834
1944,0.11050393
1945,0.1302266
1946,0.19625424
1947,0.22991574
1948,0.22264716
1949,0.20179847
1950,0.20458682
1951,0.2092785
1952,0.20910257
1953,0.20800677
1954,0.20572966
1955,0.20297942
1956,0.20181026
1957,0.21328291
1958,0.24679422
1959,0.2884551
1960,0.29506698
1961,0.2988337
1962,0.26963487
1963,0.26975507
1964,0.23655778
1965,0.20594099
1966,0.17641705
1967,0.16735601
1968,0.15407932
1969,0.14558679
1970,0.14344668
1971,0.14781117
1972,0.14660053
1973,0.14769025
1974,0.1471784
1975,0.14666587
1976,0.12230154
1977,0.120444566
1978,0.12063553
1979,0.13025153
1980,0.16528814
1981,0.18539926
1982,0.19580822
1983,0.22646676
1984,0.28165162
1985,0.32613868
1986,0.37228185
1987,0.4018719
1988,0.4826505
1989,0.51075673
1990,0.5821752
1991,0.60583425
1992,0.5946443
1993,0.5954227
1994,0.5978768
1995,0.6028216
1996,0.60259765
1997,0.60329956
1998,0.6006482
1999,0.5917659
2000,0.5944747
2001,0.62179583
2002,0.6251384
2003,0.62363404
2004,0.62209904
2005,0.6447176
2006,0.6420288
2007,0.63987565
2008,0.6356294
2009,0.6338221
2010,0.639037
2011,0.6457993
2012,0.6458538
2013,0.6419709
2014,0.6439703
2015,0.63580567
2016,0.5807238
2017,0.57545334
2018,0.56360567
2019,0.5162764
2020,0.5210575
2021,0.52075607
2022,0.53221935
2023,0.6078295
2024,0.591717
2025,0.5828746
