year,freedom_liberal_democracy_index_world
1789,0.073897436
1790,0.073268294
1791,0.073219515
1792,0.07258537
1793,0.071195126
1794,0.07029268
1795,0.0705122
1796,0.07055263
1797,0.06984615
1798,0.07575
1799,0.075075
1800,0.07046341
1801,0.07090244
1802,0.07087805
1803,0.06945
1804,0.069974996
1805,0.069825
1806,0.069575
1807,0.07057143
1808,0.07011628
1809,0.072204545
1810,0.07390909
1811,0.074511625
1812,0.07516279
1813,0.071333334
1814,0.06977778
1815,0.078489795
1816,0.080787234
1817,0.07871429
1818,0.08132
1819,0.0852
1820,0.08746939
1821,0.08929412
1822,0.091
1823,0.09323077
1824,0.09316
1825,0.09426415
1826,0.09474074
1827,0.09585185
1828,0.095685184
1829,0.09512963
1830,0.099245615
1831,0.10254386
1832,0.10116949
1833,0.10051667
1834,0.10052459
1835,0.10209836
1836,0.10242623
1837,0.10201639
1838,0.100875
1839,0.09942424
1840,0.100924246
1841,0.1038209
1842,0.10484848
1843,0.107121214
1844,0.10679104
1845,0.106397055
1846,0.10575
1847,0.1068806
1848,0.11866197
1849,0.12647143
1850,0.12543283
1851,0.1225
1852,0.123144925
1853,0.1271884
1854,0.12753624
1855,0.12826087
1856,0.13043478
1857,0.13336232
1858,0.13375714
1859,0.13372858
1860,0.13760294
1861,0.1411791
1862,0.14503077
1863,0.14394118
1864,0.144
1865,0.1412647
1866,0.14446269
1867,0.14872727
1868,0.151
1869,0.1525082
1870,0.15733333
1871,0.15925862
1872,0.16281818
1873,0.16475
1874,0.16630358
1875,0.16819642
1876,0.16480702
1877,0.16435714
1878,0.16349123
1879,0.16607018
1880,0.16759649
1881,0.16841072
1882,0.16815789
1883,0.16854386
1884,0.17049123
1885,0.16932759
1886,0.17307143
1887,0.17394643
1888,0.17528571
1889,0.17836364
1890,0.17464912
1891,0.176
1892,0.17838597
1893,0.18147369
1894,0.18394737
1895,0.186
1896,0.18694738
1897,0.18719298
1898,0.18973684
1899,0.18954386
1900,0.13004348
1901,0.1355862
1902,0.13654238
1903,0.13511476
1904,0.13549194
1905,0.13665041
1906,0.137352
1907,0.138128
1908,0.138472
1909,0.139584
1910,0.13950793
1911,0.1389375
1912,0.13806154
1913,0.13786922
1914,0.13580152
1915,0.13402256
1916,0.13433088
1917,0.13475
1918,0.1376383
1919,0.14600694
1920,0.1569392
1921,0.16479452
1922,0.16743624
1923,0.16980536
1924,0.17028189
1925,0.17013423
1926,0.16850336
1927,0.16766442
1928,0.16751006
1929,0.16761073
1930,0.16454363
1931,0.16331543
1932,0.16742177
1933,0.16166666
1934,0.15482433
1935,0.15316778
1936,0.15230201
1937,0.15179867
1938,0.15218243
1939,0.14761905
1940,0.13116667
1941,0.12773792
1942,0.12701389
1943,0.12635417
1944,0.12511724
1945,0.13656463
1946,0.16429055
1947,0.17508
1948,0.1784379
1949,0.18613072
1950,0.19188236
1951,0.19412987
1952,0.1973052
1953,0.19922727
1954,0.20024025
1955,0.20187663
1956,0.20658441
1957,0.21066234
1958,0.21103247
1959,0.21323529
1960,0.22259477
1961,0.22488311
1962,0.22722077
1963,0.23185065
1964,0.23205882
1965,0.2314902
1966,0.2283896
1967,0.22769481
1968,0.22704546
1969,0.22404546
1970,0.22461039
1971,0.2235577
1972,0.22277564
1973,0.22128846
1974,0.22189744
1975,0.22503205
1976,0.22833548
1977,0.23174194
1978,0.23681936
1979,0.2432078
1980,0.24787742
1981,0.25032902
1982,0.25109032
1983,0.2539161
1984,0.25896776
1985,0.26543227
1986,0.26927742
1987,0.27228388
1988,0.27852902
1989,0.28227565
1990,0.31953254
1991,0.33316958
1992,0.34593025
1993,0.36196533
1994,0.36651444
1995,0.37159538
1996,0.374237
1997,0.37698844
1998,0.37868965
1999,0.37882388
2000,0.38427272
2001,0.38698864
2002,0.39410734
2003,0.3981469
2004,0.4000113
2005,0.40256497
2006,0.405226
2007,0.40343258
2008,0.40567976
2009,0.40721348
2010,0.4090618
2011,0.41068158
2012,0.41185474
2013,0.40656424
2014,0.40705028
2015,0.40682122
2016,0.40497208
2017,0.40372068
2018,0.40277654
2019,0.4015866
2020,0.3965419
2021,0.3887933
2022,0.38447487
2023,0.3809106
2024,0.37369832
2025,0.3717542
