year,health_life_expectancy_wb_ecs
1960,67.4196024070789
1961,67.7350311394087
1962,67.6933235402832
1963,68.0406325312612
1964,68.5255322940532
1965,68.5938024181629
1966,68.8080130632046
1967,68.8639036660679
1968,68.8261571131827
1969,68.6805439074408
1970,68.9792127591272
1971,69.1541549538501
1972,69.3852254169036
1973,69.4951524884982
1974,69.7092587055853
1975,69.6471268391087
1976,69.7716657665012
1977,69.9933484309869
1978,70.0704792740795
1979,70.2055155362787
1980,70.2816883304413
1981,70.5651599900075
1982,70.8722587878314
1983,70.9227626462274
1984,71.0629959165545
1985,71.3025072856373
1986,71.8116782443172
1987,72.0267255265761
1988,72.105705570373
1989,72.2249939225424
1990,72.1943876503731
1991,72.1536904147041
1992,71.8543270329612
1993,71.5316171824395
1994,71.6871244068541
1995,71.830263572355
1996,72.2499242620434
1997,72.6453011952902
1998,72.9146929766169
1999,72.8389666506017
2000,73.1137123890211
2001,73.3558243150228
2002,73.4464115251961
2003,73.5627467942119
2004,73.9880374819429
2005,74.1536447949151
2006,74.6397717965131
2007,75.0086537519123
2008,75.3023142874929
2009,75.6891993831489
2010,75.9953558348547
2011,76.4793686081824
2012,76.6804966674157
2013,77.0324394716909
2014,77.353578845956
2015,77.330938408387
2016,77.6812816553928
2017,77.8990151719065
2018,78.0318405978087
2019,78.3038716113385
2020,77.1754906029407
2021,76.72864297207
2022,77.834452247983
2023,78.3911328035275
2024,78.5986851063787
