year,health_life_expectancy_wb_ssf
1960,41.4298887419235
1961,41.7287336393241
1962,42.2375875851933
1963,42.5168097817683
1964,42.8510896648394
1965,43.1164726168028
1966,43.2228948679767
1967,43.5439384775619
1968,44.032026628393
1969,44.3086800254961
1970,44.7694765853369
1971,45.09007091812
1972,45.1796589281654
1973,45.736165539651
1974,45.9732500763121
1975,46.3255594107969
1976,47.0036478662147
1977,47.4272046346911
1978,47.7120083712455
1979,48.1551440811002
1980,48.5430503046262
1981,48.8200984112774
1982,49.1042093457257
1983,48.3827727632213
1984,48.5119726208973
1985,48.8074286330681
1986,49.2139865888868
1987,49.888415640864
1988,49.868011115475
1989,50.1510933054542
1990,50.036321588365
1991,49.9323711016572
1992,49.9010729168747
1993,50.1822821890428
1994,50.1200700200578
1995,50.4950135276527
1996,50.4515257272512
1997,50.6238888881821
1998,50.5661004729415
1999,51.0072232269362
2000,51.6453200237496
2001,51.9872682200426
2002,52.3574847035736
2003,52.827473572176
2004,53.3465664289912
2005,53.8933821899778
2006,54.5902158474127
2007,55.2634222428768
2008,55.8874045134135
2009,56.3680608990521
2010,57.1071582744601
2011,57.4735321042472
2012,58.2282166983329
2013,58.7180429446344
2014,58.9856472694812
2015,59.3987962107574
2016,59.8121599098867
2017,60.1584760722652
2018,60.7667795961955
2019,61.1293664117069
2020,61.1676531593734
2021,60.7035030087831
2022,61.8572731122839
2023,62.6028583619521
2024,62.8037945390391
