year,health_life_expectancy_wb_wld
1960,50.9418860745353
1961,52.7972306837695
1962,55.2860734026534
1963,55.6522285444853
1964,56.0966979719764
1965,55.926447643924
1966,56.4490081296737
1967,56.9037526493978
1968,57.3352975180805
1969,57.6800785564019
1970,57.9370058876749
1971,58.0244668517985
1972,58.8441211130805
1973,59.296077814522
1974,59.6995632328215
1975,60.1304898805725
1976,60.4539569952357
1977,61.0411765312782
1978,61.3940866427936
1979,61.8407172981247
1980,62.1512081191639
1981,62.5165275005898
1982,62.8741022956614
1983,63.1311233603113
1984,63.4354251862219
1985,63.7248972893362
1986,64.1160039541595
1987,64.4571829150861
1988,64.6658726485802
1989,64.9570292485354
1990,65.1079899421686
1991,65.3032757605041
1992,65.5470572281021
1993,65.7420543331428
1994,65.9579317495541
1995,66.2002432662786
1996,66.5148079036043
1997,66.8303021609942
1998,67.0659592687867
1999,67.3114791722258
2000,67.6497224697378
2001,67.9443971016557
2002,68.2305633063393
2003,68.5149632959636
2004,68.7702567980032
2005,69.1105811246199
2006,69.4681205527323
2007,69.8041031820031
2008,70.0034785203503
2009,70.3795311943904
2010,70.6818497084676
2011,70.9680197134964
2012,71.2637251826139
2013,71.5326075432729
2014,71.775442613023
2015,71.9646262286432
2016,72.1847318478467
2017,72.3651230321768
2018,72.6433686298045
2019,72.8686343875761
2020,72.181968378825
2021,71.2149086723293
2022,72.9675581482237
2023,73.3288401042825
2024,73.480380292779
