year,education_literacy_rate_central_and_southern_asia
1975,38.60951
1976,38.67103
1977,39.32173
1978,39.97063
1979,40.614
1980,41.22859
1981,41.8161
1982,42.48007
1983,43.19952
1984,43.8527
1985,44.50827
1986,45.16565
1987,45.82521
1988,46.56606
1989,47.32452
1990,48.32116
1991,49.05992
1992,50.02463
1993,50.96456
1994,51.65748
1995,52.48868
1996,53.27746
1997,54.06332
1998,58.53805
1999,59.31843
2000,60.08303
2001,60.84338
2002,61.62705
2003,62.51307
2004,63.28101
2005,63.14516
2006,63.28799
2007,64.09655
2008,65.15713
2009,65.98215
2010,68.35281
2011,68.73041
2012,68.78113
2013,69.72007
2014,70.40182
2015,71.63145
2016,72.85133
2017,73.37587
2018,73.86521
2019,73.66493
2020,74.33241
2021,75.07198
2022,75.81275
2023,76.51431
