year,education_literacy_rate_eastern_and_south_eastern_asia
1976,65.50171
1977,65.68772
1978,66.79352
1979,68.04645
1980,69.1582
1981,70.21553
1982,71.19647
1983,72.1383
1984,73.13766
1985,74.08572
1986,74.92859
1987,76.1177
1988,79.95864
1989,80.59546
1990,81.18364
1991,81.73081
1992,82.24957
1993,82.72173
1994,83.28386
1995,83.85079
1996,84.34014
1997,89.39987
1998,89.76716
1999,90.08641
2000,90.45192
2001,90.76801
2002,91.12475
2003,91.49954
2004,91.83497
2005,92.17309
2006,92.52596
2007,93.67552
2008,93.98298
2009,94.25554
2010,94.37094
2011,94.03088
2012,94.26621
2013,94.38122
2014,94.89836
2015,95.12345
2016,95.33295
2017,95.52963
2018,95.57909
2019,96.02655
2020,96.25462
2021,96.39394
2022,96.53545
2023,96.6705
