year,education_literacy_rate_latin_america_and_the_caribbean
1974,78.71851
1975,78.73799
1976,79.08725
1977,79.49001
1978,79.9275
1979,80.32321
1980,80.67787
1981,81.07452
1982,81.46156
1983,81.84299
1984,82.21363
1985,82.57424
1986,82.92566
1987,83.21799
1988,83.70807
1989,84.14984
1990,84.4682
1991,85.0667
1992,85.66582
1993,86.25516
1994,86.83348
1995,87.40642
1996,87.77931
1997,88.04464
1998,88.3992
1999,88.71671
2000,89.01682
2001,89.17591
2002,89.44321
2003,90.09602
2004,90.37239
2005,90.33953
2006,90.54242
2007,91.39071
2008,91.68941
2009,91.86474
2010,91.78525
2011,92.49063
2012,92.79953
2013,92.78411
2014,93.28208
2015,93.42689
2016,93.86834
2017,93.89949
2018,94.08592
2019,94.25568
2020,94.31331
2021,94.49382
2022,94.64692
2023,94.79
