year,education_literacy_rate_northern_africa_and_western_asia
1976,54.3411
1977,54.78078
1978,55.29722
1979,55.67316
1980,56.26776
1981,56.8871
1982,57.57365
1983,57.84152
1984,59.73399
1985,60.46863
1986,61.20571
1987,61.92454
1988,62.71324
1989,63.37794
1990,64.19637
1991,65.00349
1992,65.77178
1993,66.33577
1994,67.05767
1995,67.79916
1996,68.66977
1997,69.50703
1998,70.41439
1999,71.24101
2000,72.16486
2001,73.03478
2002,73.83571
2003,75.93867
2004,76.60167
2005,77.18137
2006,75.35314
2007,76.0082
2008,76.72649
2009,76.07653
2010,76.8703
2011,78.47644
2012,79.18889
2013,79.80632
2014,80.18829
2015,80.74607
2016,79.70249
2017,80.08974
2018,80.34868
2019,80.59253
2020,80.83071
2021,81.11396
2022,81.32228
2023,81.52536
