year,education_literacy_rate_sub_saharan_africa
1984,49.00235
1985,49.37137
1986,49.70577
1987,50.36095
1988,50.89607
1989,51.45966
1990,52.11274
1991,52.47592
1992,52.97165
1993,53.5766
1994,54.20362
1995,54.63169
1996,55.26828
1997,56.09558
1998,56.75086
1999,57.59484
2000,56.3906
2001,57.14965
2002,57.85295
2003,58.36514
2004,59.04088
2005,58.71344
2006,58.41726
2007,58.17579
2008,58.48229
2009,58.94138
2010,59.61513
2011,61.13006
2012,62.3788
2013,63.23391
2014,63.92325
2015,64.52015
2016,65.10612
2017,65.44503
2018,67.06734
2019,67.71821
2020,67.9072
2021,67.89861
2022,68.2313
2023,68.5022
