year,education_literacy_rate_world
1820,12.046689
1870,18.740555
1880,19.628456
1890,20.516357
1900,21.404259
1910,26.445602
1920,31.623163
1930,32.52763
1940,41.879223
1950,35.959377
1960,41.620377
1976,65.65894
1977,65.94926
1978,66.57221
1979,67.2339
1980,67.8477
1981,68.45067
1982,69.04228
1983,69.61146
1984,70.2725
1985,70.86449
1986,71.41617
1987,72.10954
1988,73.82419
1989,74.34693
1990,74.90702
1991,75.28651
1992,75.69432
1993,76.10245
1994,76.50147
1995,76.91185
1996,77.29632
1997,79.28844
1998,80.4687
1999,80.806
2000,80.97923
2001,81.28601
2002,81.64019
2003,82.11429
2004,82.44728
2005,82.45476
2006,82.42529
2007,83.01185
2008,83.38555
2009,83.60871
2010,84.2272
2011,84.41082
2012,84.60142
2013,84.90313
2014,85.28642
2015,85.67891
2016,86.00014
2017,86.17703
2018,86.43751
2019,86.54794
2020,86.74748
2021,86.92754
2022,87.15536
2023,87.35603
