year,nature_living_planet_index_world
1970,100
1971,99.406844
1972,98.14285000000001
1973,96.61677
1974,94.809854
1975,92.65501499999999
1976,89.991647
1977,86.367744
1978,82.86782000000001
1979,80.259967
1980,78.43339
1981,77.014565
1982,74.73171400000001
1983,72.17754
1984,69.707686
1985,67.67479
1986,66.16929999999999
1987,64.42259
1988,62.675349999999995
1989,61.357963000000005
1990,60.09213
1991,58.816165
1992,57.28322
1993,55.24195400000001
1994,53.247344
1995,51.149136
1996,50.24958
1997,48.922349999999994
1998,47.500777
1999,45.67586
2000,44.373488
2001,43.125597
2002,42.013386000000004
2003,40.928477
2004,39.984033000000004
2005,38.86755
2006,37.449524000000004
2007,35.952893
2008,34.355253000000005
2009,32.711408
2010,31.09998
2011,29.602800000000002
2012,28.667074
2013,28.413123000000002
2014,28.503707
2015,28.567332
2016,27.78848
2017,27.369870000000002
2018,27.097133
2019,27.327447999999997
2020,27.134067
