year,education_lower_secondary_completion_ecs
2000,87.1169204711914
2001,87.8440475463867
2002,89.6587371826172
2003,90.5672607421875
2004,89.4700622558594
2005,89.6752624511719
2006,89.013542175293
2007,90.1031723022461
2008,89.9467391967773
2009,89.2240295410156
2010,93.5302276611328
2011,92.7615432739258
2012,91.789176940918
2013,91.4735412597656
2014,91.4651794433594
2015,90.8607635498047
2016,90.1401672363281
2017,90.9576034545898
2018,91.1934204101562
2019,91.6837692260742
2020,96.0619888305664
2021,91.7596893310547
2022,91.9134368896484
2023,91.8559875488281
2024,91.8816299438477
