year,education_lower_secondary_completion_sas
2001,55.5597305297852
2002,55.756290435791
2003,58.6464195251465
2004,59.8230895996094
2005,61.3749809265137
2006,63.1450805664062
2007,65.5913009643555
2008,67.9705276489258
2009,70.3050079345703
2010,72.404426574707
2011,74.8281402587891
2012,77.1982574462891
2013,79.6203689575195
2014,83.4901885986328
2015,83.6813201904297
2016,84.8095169067383
2017,84.9607162475586
2018,86.1927490234375
2019,86.0785522460938
2020,87.7918930053711
2021,89.0237503051758
2022,89.4951324462891
2023,85.4501876831055
2024,86.5518112182617
