year,health_malaria_incidence_wb_sas
2000,21.585284739027
2001,21.284794244267
2002,19.2238461020887
2003,19.9306413584013
2004,21.3212496422489
2005,21.9646411281909
2006,16.1740670088359
2007,14.6712105996602
2008,14.3054753880467
2009,13.5849678272116
2010,12.848600702384
2011,10.3473818307266
2012,7.94105356758102
2013,6.14064677196491
2014,6.2326932595622
2015,6.32326163696021
2016,6.16537616030779
2017,4.52703895748363
2018,3.35948988977185
2019,2.78822630589554
2020,2.47521339566333
2021,2.44680895074368
2022,1.38289141497746
2023,1.32267566509403
2024,1.45618899888534
