year,health_malaria_incidence_wb_ssf
2000,339.852294762116
2001,341.942701007986
2002,332.046494206699
2003,328.796248951271
2004,320.997377843365
2005,310.208092946497
2006,301.7483524688
2007,289.615013858854
2008,279.744618950646
2009,278.215256606279
2010,271.842511995124
2011,260.375957288953
2012,250.565864240167
2013,242.071845254015
2014,232.984272668555
2015,232.493452359625
2016,227.779224664448
2017,231.535508933798
2018,225.532884688827
2019,222.063254342982
2020,227.986774499327
2021,225.14469391562
2022,222.16947529065
2023,227.159959958893
2024,229.261435164613
