year,health_malaria_incidence_world
2000,79.8813099417593
2001,80.7118632285731
2002,78.5243680983702
2003,78.6751624463595
2004,78.004932370708
2005,76.5593171374171
2006,73.4298650954255
2007,70.6679532392561
2008,68.888610106043
2009,69.1932272610673
2010,68.1856507676549
2011,65.2035547026601
2012,62.7474088655473
2013,60.3683727514267
2014,58.6870330872827
2015,59.0112453102036
2016,58.6950073871173
2017,59.7315443849572
2018,58.469060432106
2019,57.9897815718
2020,60.2623341938755
2022,60.7281753730123
2024,64.0410829840746
