year,demography_mean_age_childbearing_world
1950,28.914
1951,28.882
1952,28.904
1953,28.863
1954,28.859
1955,28.84
1956,28.801
1957,28.805
1958,28.738
1959,28.658
1960,28.622
1961,28.565
1962,28.696
1963,28.794
1964,28.777
1965,28.795
1966,28.77
1967,28.706
1968,28.779
1969,28.733
1970,28.697
1971,28.591
1972,28.503
1973,28.409
1974,28.299
1975,28.198
1976,28.107
1977,28.036
1978,27.949
1979,27.856
1980,27.787
1981,27.726
1982,27.668
1983,27.593
1984,27.53
1985,27.458
1986,27.415
1987,27.397
1988,27.331
1989,27.264
1990,27.222
1991,27.125
1992,27.107
1993,27.108
1994,27.086
1995,27.042
1996,27.044
1997,27.077
1998,27.081
1999,27.106
2000,27.126
2001,27.158
2002,27.205
2003,27.246
2004,27.319
2005,27.426
2006,27.493
2007,27.532
2008,27.553
2009,27.597
2010,27.64
2011,27.662
2012,27.68
2013,27.726
2014,27.834
2015,27.966
2016,28.094
2017,28.15
2018,28.177
2019,28.199
2020,28.218
2021,28.226
2022,28.218
2023,28.202
2024,28.244
