year,economy_mean_income_afe
1981,4.6203
1982,4.565
1983,4.4847
1984,4.4294
1985,4.3622
1986,4.3883
1987,4.4402
1988,4.4774
1989,4.505
1990,4.452
1991,4.3565
1992,4.2247
1993,3.9783
1994,3.9055
1995,3.9763
1996,4.0412
1997,4.0454
1998,3.9721
1999,3.9133
2000,3.8976
2001,3.9426
2002,3.9561
2003,4.0037
2004,4.2544
2005,4.4716
2006,4.5495
2007,4.669
2008,4.7045
2009,4.6698
2010,4.8869
2011,4.9497
2012,4.9883
2013,5.0141
2014,5.0259
2015,4.9841
2016,4.9424
2017,4.9064
2018,4.8359
2019,4.759
2020,4.5454
2021,4.5649
2022,4.6071
2023,4.5778
2024,4.5898
2025,4.643
2026,4.7079
