year,economy_mean_income_afw
1981,4.1316
1982,3.9751
1983,3.7519
1984,3.6858
1985,3.7581
1986,3.6634
1987,3.5567
1988,3.492
1989,3.4363
1990,3.4403
1991,3.3636
1992,3.3113
1993,3.3383
1994,3.3621
1995,3.4039
1996,3.4713
1997,3.4947
1998,3.5035
1999,3.5059
2000,3.5051
2001,3.5744
2002,3.6869
2003,3.7176
2004,3.8269
2005,3.8898
2006,3.9625
2007,4.0132
2008,4.1333
2009,4.1929
2010,4.3461
2011,4.4023
2012,4.5273
2013,4.6542
2014,4.7885
2015,4.803
2016,4.8845
2017,5.0209
2018,5.1478
2019,5.2242
2020,4.9567
2021,4.8938
2022,4.8929
2023,4.9099
2024,4.9916
2025,5.0642
2026,5.1554
