year,economy_mean_income_eas
1981,4.9441
1982,5.1226
1983,5.2991
1984,5.5195
1985,5.7046
1986,5.8747
1987,6.1267
1988,6.4453
1989,6.4897
1990,6.7023
1991,6.8746
1992,7.0479
1993,7.183
1994,7.4933
1995,7.7878
1996,8.1257
1997,8.2553
1998,8.1002
1999,8.3504
2000,8.6665
2001,8.9376
2002,9.3649
2003,9.703
2004,10.1255
2005,10.6338
2006,11.022
2007,11.5151
2008,11.7742
2009,12.0573
2010,12.801
2011,13.29
2012,13.9511
2013,14.7498
2014,15.4166
2015,16.1565
2016,16.8494
2017,17.5289
2018,18.1577
2019,18.8706
2020,18.5588
2021,19.8671
2022,20.0823
2023,20.9868
2024,21.5163
2025,22.1279
2026,22.7229
