year,economy_mean_income_ecs
1981,24.8158
1982,25.091
1983,25.1789
1984,25.471
1985,25.7533
1986,26.3094
1987,27.2053
1988,27.9217
1989,28.4965
1990,28.6448
1991,28.4178
1992,27.945
1993,27.0516
1994,27.0151
1995,27.7361
1996,27.854
1997,28.0871
1998,28.9955
1999,28.8633
2000,29.9948
2001,30.6362
2002,31.2769
2003,32.0785
2004,33.2776
2005,33.8636
2006,34.7342
2007,37.1823
2008,38.1296
2009,37.9811
2010,38.033
2011,37.9929
2012,37.9147
2013,38.3901
2014,38.7024
2015,38.9822
2016,39.542
2017,40.0166
2018,40.7695
2019,41.4686
2020,42.7254
2021,45.5235
2022,45.8702
2023,47.7557
2024,48.6875
2025,49.2533
2026,49.9208
