year,economy_mean_income_lcn
1981,13.0824
1982,12.9767
1983,12.2122
1984,12.3055
1985,12.3384
1986,14.8481
1987,13.5462
1988,13.284
1989,13.5269
1990,12.3702
1991,12.206
1992,11.8709
1993,12.6115
1994,12.9989
1995,13.4685
1996,13.3233
1997,13.634
1998,13.8991
1999,13.4693
2000,14.1103
2001,14.1515
2002,14.0896
2003,14.2219
2004,14.524
2005,15.2933
2006,16.3689
2007,17.0657
2008,17.5883
2009,17.5796
2010,18.1521
2011,18.8709
2012,19.5589
2013,20.0395
2014,20.0236
2015,20.5155
2016,20.6364
2017,20.728
2018,20.9236
2019,20.9563
2020,19.8632
2021,19.9857
2022,21.1448
2023,21.9803
2024,22.8246
2025,23.2744
2026,23.6363
