year,economy_mean_income_mea
1981,9.0318
1982,8.9303
1983,8.6942
1984,8.6658
1985,8.6249
1986,8.2982
1987,8.217
1988,8.1345
1989,8.127
1990,7.8742
1991,7.9392
1992,8.2861
1993,8.3447
1994,8.5196
1995,8.5692
1996,8.8319
1997,9.0468
1998,9.2948
1999,9.366
2000,9.6512
2001,9.6582
2002,9.7714
2003,9.96
2004,11.2943
2005,11.5222
2006,11.9165
2007,12.2986
2008,12.6669
2009,12.1582
2010,12.0018
2011,12.1718
2012,12.1874
2013,12.2143
2014,12.3993
2015,12.6622
2016,12.79
2017,12.9202
2018,12.986
2019,12.905
2020,12.3164
2021,12.5084
2022,13.1392
2023,13.3517
2024,13.3371
2025,13.4742
2026,13.7037
