year,economy_mean_income_nac
1981,54.5836
1982,55.2523
1983,56.937
1984,59.0168
1985,60.2173
1986,61.7559
1987,63.5956
1988,64.6762
1989,65.7097
1990,64.0534
1991,63.2545
1992,63.3295
1993,64.3676
1994,65.5185
1995,66.4214
1996,67.1988
1997,69.0947
1998,71.0463
1999,72.7354
2000,73.6849
2001,73.8784
2002,74.0929
2003,75.1365
2004,74.5025
2005,76.1174
2006,77.5022
2007,77.2819
2008,75.5014
2009,76.4605
2010,74.7331
2011,75.6056
2012,75.942
2013,75.6524
2014,76.118
2015,78.8051
2016,82.0643
2017,83.2699
2018,86.7844
2019,92.0274
2020,94.6041
2021,94.9548
2022,88.4705
2023,91.0303
2024,93.2395
2025,94.5458
2026,96.0586
