year,economy_mean_income_sas
1981,3.2518
1982,3.2967
1983,3.4048
1984,3.4243
1985,3.449
1986,3.4599
1987,3.4514
1988,3.462
1989,3.4856
1990,3.5085
1991,3.5067
1992,3.5332
1993,3.5726
1994,3.6133
1995,3.6495
1996,3.6777
1997,3.6952
1998,3.7129
1999,3.7398
2000,3.7599
2001,3.7745
2002,3.7917
2003,3.8233
2004,3.8604
2005,3.9334
2006,4.0386
2007,4.1441
2008,4.1975
2009,4.2899
2010,4.4943
2011,4.6996
2012,4.8485
2013,4.9809
2014,5.1469
2015,5.3324
2016,5.5419
2017,5.7563
2018,5.9679
2019,6.0979
2020,5.979
2021,6.1693
2022,6.4333
2023,6.7307
2024,7.0009
2025,7.2597
2026,7.5251
