year,economy_mean_income_ssf
1981,4.4211
1982,4.325
1983,4.1873
1984,4.1283
1985,4.118
1986,4.0957
1987,4.0842
1988,4.0807
1989,4.0749
1990,4.0453
1991,3.9576
1992,3.8575
1993,3.7211
1994,3.6872
1995,3.7461
1996,3.8119
1997,3.8236
1998,3.7832
1999,3.749
2000,3.7392
2001,3.7938
2002,3.8471
2003,3.8878
2004,4.081
2005,4.2354
2006,4.311
2007,4.4022
2008,4.472
2009,4.4757
2010,4.6667
2011,4.7266
2012,4.8003
2013,4.8673
2014,4.9291
2015,4.9102
2016,4.9187
2017,4.9531
2018,4.963
2019,4.9482
2020,4.7123
2021,4.6982
2022,4.7228
2023,4.7121
2024,4.7522
2025,4.813
2026,4.8882
