year,economy_mean_income_world
1981,11.8277
1982,11.897
1983,11.9324
1984,12.1143
1985,12.2316
1986,12.5877
1987,12.7393
1988,12.9311
1989,13.0531
1990,12.8885
1991,12.7959
1992,12.7246
1993,12.693
1994,12.8483
1995,13.1042
1996,13.2394
1997,13.4065
1998,13.5693
1999,13.635
2000,13.9725
2001,14.1159
2002,14.3114
2003,14.5639
2004,14.9428
2005,15.3288
2006,15.7394
2007,16.2765
2008,16.4366
2009,16.4732
2010,16.6742
2011,16.9281
2012,17.1822
2013,17.4959
2014,17.7649
2015,18.2015
2016,18.6489
2017,18.9805
2018,19.435
2019,19.9361
2020,19.8286
2021,20.546
2022,20.4869
2023,21.1746
2024,21.6153
2025,21.9464
2026,22.2981
