year,education_mean_years_schooling_world
1870,0.46026796
1875,0.5161778
1880,0.5989987
1885,0.6794388
1890,0.78066266
1895,0.8785696
1900,1.00808
1905,1.1512768
1910,1.2853836
1915,1.4412706
1920,1.6373215
1925,1.8281308
1930,2.018216
1935,2.2034733
1940,2.6039193
1945,2.8062007
1950,3.0336335
1955,3.250855
1960,3.5115314
1965,3.8569107
1970,4.3155894
1975,4.7661443
1980,5.310849
1985,5.7433367
1990,6.174556
1995,6.7308083
2000,7.2817993
2005,7.7389355
2010,8.149967
2015,8.478128
2020,8.840671
