year,demography_median_age_proj_world
2024,30.621
2025,30.863
2026,31.099
2027,31.331
2028,31.558
2029,31.778
2030,31.992
2031,32.2
2032,32.404
2033,32.607
2034,32.81
2035,33.013
2036,33.209
2037,33.402
2038,33.595
2039,33.787
2040,33.981
2041,34.175
2042,34.374
2043,34.576
2044,34.784
2045,34.994
2046,35.206
2047,35.417
2048,35.631
2049,35.849
2050,36.068
2051,36.282
2052,36.492
2053,36.699
2054,36.904
2055,37.107
2056,37.297
2057,37.474
2058,37.636
2059,37.781
2060,37.91
2061,38.031
2062,38.145
2063,38.256
2064,38.367
2065,38.475
2066,38.582
2067,38.688
2068,38.792
2069,38.896
2070,39
2071,39.103
2072,39.207
2073,39.311
2074,39.415
2075,39.52
2076,39.626
2077,39.732
2078,39.84
2079,39.948
2080,40.057
2081,40.168
2082,40.28
2083,40.392
2084,40.505
2085,40.619
2086,40.733
2087,40.846
2088,40.96
2089,41.071
2090,41.181
2091,41.289
2092,41.395
2093,41.497
2094,41.597
2095,41.693
2096,41.786
2097,41.875
2098,41.961
2099,42.044
2100,42.125
